"hgnc_id"	"symbol"	"name"	"alias_symbol"	"prev_symbol"	"locus_group"
"HGNC:5"	"A1BG"	"alpha-1-B glycoprotein"	""	""	"protein-coding gene"
"HGNC:37133"	"A1BG-AS1"	"A1BG antisense RNA 1"	"FLJ23569"	"NCRNA00181|A1BGAS|A1BG-AS"	"non-coding RNA"
"HGNC:24086"	"A1CF"	"APOBEC1 complementation factor"	"ACF|ASP|ACF64|ACF65|APOBEC1CF"	""	"protein-coding gene"
"HGNC:7"	"A2M"	"alpha-2-macroglobulin"	"FWP007|S863-7|CPAMD5"	""	"protein-coding gene"
"HGNC:27057"	"A2M-AS1"	"A2M antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:23336"	"A2ML1"	"alpha-2-macroglobulin like 1"	"FLJ25179|p170"	"CPAMD9"	"protein-coding gene"
"HGNC:41022"	"A2ML1-AS1"	"A2ML1 antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:41523"	"A2ML1-AS2"	"A2ML1 antisense RNA 2"	""	""	"non-coding RNA"
"HGNC:30005"	"A3GALT2"	"alpha 1,3-galactosyltransferase 2"	"IGBS3S|IGB3S"	"A3GALT2P"	"protein-coding gene"
"HGNC:18149"	"A4GALT"	"alpha 1,4-galactosyltransferase (P1PK blood group)"	"A14GALT|Gb3S|P(k)"	"P1"	"protein-coding gene"
"HGNC:17968"	"A4GNT"	"alpha-1,4-N-acetylglucosaminyltransferase"	"alpha4GnT"	""	"protein-coding gene"
"HGNC:13666"	"AAAS"	"aladin WD repeat nucleoporin"	""	""	"protein-coding gene"
"HGNC:21298"	"AACS"	"acetoacetyl-CoA synthetase"	"FLJ12389|SUR-5|ACSF1"	""	"protein-coding gene"
"HGNC:18226"	"AACSP1"	"acetoacetyl-CoA synthetase pseudogene 1"	""	"AACSL"	"pseudogene"
"HGNC:17"	"AADAC"	"arylacetamide deacetylase"	"DAC|CES5A1"	""	"protein-coding gene"
"HGNC:24427"	"AADACL2"	"arylacetamide deacetylase like 2"	"MGC72001"	""	"protein-coding gene"
"HGNC:50301"	"AADACL2-AS1"	"AADACL2 antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:32037"	"AADACL3"	"arylacetamide deacetylase like 3"	"OTTHUMG00000001887"	""	"protein-coding gene"
"HGNC:32038"	"AADACL4"	"arylacetamide deacetylase like 4"	"OTTHUMG00000001889"	""	"protein-coding gene"
"HGNC:50305"	"AADACP1"	"arylacetamide deacetylase pseudogene 1"	""	""	"pseudogene"
"HGNC:17929"	"AADAT"	"aminoadipate aminotransferase"	"KATII|KAT2|KYAT2"	""	"protein-coding gene"
"HGNC:25662"	"AAGAB"	"alpha and gamma adaptin binding protein"	"FLJ11506|p34"	""	"protein-coding gene"
"HGNC:19679"	"AAK1"	"AP2 associated kinase 1"	"KIAA1048|DKFZp686K16132"	""	"protein-coding gene"
"HGNC:30205"	"AAMDC"	"adipogenesis associated Mth938 domain containing"	"PTD015|FLJ21035|CK067"	"C11orf67"	"protein-coding gene"
"HGNC:18"	"AAMP"	"angio associated migratory cell protein"	""	""	"protein-coding gene"
"HGNC:19"	"AANAT"	"aralkylamine N-acetyltransferase"	"SNAT"	""	"protein-coding gene"
"HGNC:15886"	"AAR2"	"AAR2 splicing factor"	"bA234K24.2"	"C20orf4"	"protein-coding gene"
"HGNC:33842"	"AARD"	"alanine and arginine rich domain containing protein"	"LOC441376"	"C8orf85"	"protein-coding gene"
"HGNC:20"	"AARS1"	"alanyl-tRNA synthetase 1"	"CMT2N|AlaRS"	"AARS"	"protein-coding gene"
"HGNC:49894"	"AARS1P1"	"alanyl-tRNA synthetase 1 pseudogene 1"	""	"AARSP1"	"pseudogene"
"HGNC:21022"	"AARS2"	"alanyl-tRNA synthetase 2, mitochondrial"	"KIAA1270|bA444E17.1"	"AARSL"	"protein-coding gene"
"HGNC:28417"	"AARSD1"	"alanyl-tRNA synthetase domain containing 1"	"MGC2744|AlaXp"	""	"protein-coding gene"
"HGNC:54994"	"AARSD1P1"	"AARSD1 pseudogene 1"	""	""	"pseudogene"
"HGNC:23993"	"AASDH"	"aminoadipate-semialdehyde dehydrogenase"	"NRPS998|LYS2|ACSF4"	""	"protein-coding gene"
"HGNC:58795"	"AASDH-DT"	"AASDH divergent transcript"	""	""	"non-coding RNA"
"HGNC:14235"	"AASDHPPT"	"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	"LYS5|CGI-80|AASD-PPT|ACPS"	""	"protein-coding gene"
"HGNC:58262"	"AASDHPPT-AS1"	"AASDHPPT antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:17366"	"AASS"	"aminoadipate-semialdehyde synthase"	"LORSDH|LKRSDH|LKR/SDH"	""	"protein-coding gene"
"HGNC:51526"	"AATBC"	"apoptosis associated transcript in bladder cancer"	""	""	"non-coding RNA"
"HGNC:19235"	"AATF"	"apoptosis antagonizing transcription factor"	"DED|CHE-1|CHE1|BFR2"	""	"protein-coding gene"
"HGNC:22"	"AAVS1"	"adeno-associated virus integration site 1"	"AAV"	""	"other"
"HGNC:23"	"ABAT"	"4-aminobutyrate aminotransferase"	"GABAT|GABA-T"	""	"protein-coding gene"
"HGNC:29"	"ABCA1"	"ATP binding cassette subfamily A member 1"	"TGD"	"ABC1|HDLDT1"	"protein-coding gene"
"HGNC:32"	"ABCA2"	"ATP binding cassette subfamily A member 2"	""	"ABC2"	"protein-coding gene"
"HGNC:33"	"ABCA3"	"ATP binding cassette subfamily A member 3"	"ABC-C|EST111653|LBM180"	"ABC3"	"protein-coding gene"
"HGNC:34"	"ABCA4"	"ATP binding cassette subfamily A member 4"	"FFM|ARMD2|CORD3"	"STGD1|ABCR|RP19|STGD"	"protein-coding gene"
"HGNC:35"	"ABCA5"	"ATP binding cassette subfamily A member 5"	"EST90625"	""	"protein-coding gene"
"HGNC:36"	"ABCA6"	"ATP binding cassette subfamily A member 6"	"EST155051"	""	"protein-coding gene"
"HGNC:37"	"ABCA7"	"ATP binding cassette subfamily A member 7"	"ABCX"	""	"protein-coding gene"
"HGNC:38"	"ABCA8"	"ATP binding cassette subfamily A member 8"	"KIAA0822"	""	"protein-coding gene"
"HGNC:39"	"ABCA9"	"ATP binding cassette subfamily A member 9"	"EST640918"	""	"protein-coding gene"
"HGNC:39983"	"ABCA9-AS1"	"ABCA9 antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:30"	"ABCA10"	"ATP binding cassette subfamily A member 10"	"EST698739"	""	"protein-coding gene"
"HGNC:31"	"ABCA11P"	"ATP binding cassette subfamily A member 11, pseudogene"	"ABCA10P|EST1133530|FLJ14297"	"ABCA11"	"pseudogene"
"HGNC:14637"	"ABCA12"	"ATP binding cassette subfamily A member 12"	"DKFZP434G232|LI2"	"ICR2B"	"protein-coding gene"
"HGNC:14638"	"ABCA13"	"ATP binding cassette subfamily A member 13"	"FLJ33876|FLJ33951"	""	"protein-coding gene"
"HGNC:34405"	"ABCA15P"	"ATP binding cassette subfamily A member 15, pseudogene"	"ABCA15P1|FLJ41766"	"NCRNA00169|CRYM-AS1"	"pseudogene"
"HGNC:55707"	"ABCA16P"	"ATP binding cassette subfamily A member 16, pseudogene"	"ABCA15P2"	"ABCA3P1"	"pseudogene"
"HGNC:32972"	"ABCA17P"	"ATP binding cassette subfamily A member 17, pseudogene"	""	""	"pseudogene"
"HGNC:40"	"ABCB1"	"ATP binding cassette subfamily B member 1"	"P-gp|CD243|GP170|ABC20|p-170|PGY1"	"PGY1|MDR1|CLCS"	"protein-coding gene"
"HGNC:45"	"ABCB4"	"ATP binding cassette subfamily B member 4"	"MDR2|PFIC-3|GBD1"	"PGY3|MDR3"	"protein-coding gene"
